Using device: mps
Loaded Gen 1 model ppo_model_gen1.pt for fine-tuning!
Starting PPO training for 200000 episodes...
Ep    15200 | WinRT:  90.0% | AvgLen:  8.5 | ALoss: -0.000 | CLoss:  0.149 | Ent: 0.124 | Time: 1133.9s
Ep    15300 | WinRT:  94.0% | AvgLen: 11.4 | ALoss: -0.001 | CLoss:  0.114 | Ent: 0.125 | Time: 1139.7s
Ep    15400 | WinRT:  90.0% | AvgLen: 10.6 | ALoss: -0.003 | CLoss:  0.130 | Ent: 0.111 | Time: 1145.5s
Ep    15500 | WinRT:  85.0% | AvgLen:  8.7 | ALoss: -0.001 | CLoss:  0.224 | Ent: 0.142 | Time: 1149.8s
Ep    15600 | WinRT:  88.0% | AvgLen: 12.4 | ALoss: -0.001 | CLoss:  0.158 | Ent: 0.119 | Time: 1156.3s
Ep    15700 | WinRT:  88.0% | AvgLen:  8.7 | ALoss: -0.001 | CLoss:  0.228 | Ent: 0.145 | Time: 1160.8s
Ep    15800 | WinRT:  88.0% | AvgLen: 10.4 | ALoss: -0.003 | CLoss:  0.202 | Ent: 0.124 | Time: 1166.6s
Ep    15900 | WinRT:  93.0% | AvgLen:  9.7 | ALoss: -0.002 | CLoss:  0.121 | Ent: 0.122 | Time: 1171.9s
Ep    16000 | WinRT:  95.0% | AvgLen:  8.3 | ALoss: -0.001 | CLoss:  0.163 | Ent: 0.115 | Time: 1175.9s
  -> Saved checkpoint to ppo_model_gen2.pt
Ep    16100 | WinRT:  90.0% | AvgLen:  8.3 | ALoss: -0.000 | CLoss:  0.162 | Ent: 0.113 | Time: 1180.2s
Ep    16200 | WinRT:  88.0% | AvgLen:  9.0 | ALoss:  0.000 | CLoss:  0.196 | Ent: 0.122 | Time: 1184.8s
Ep    16300 | WinRT:  93.0% | AvgLen:  9.2 | ALoss: -0.002 | CLoss:  0.116 | Ent: 0.131 | Time: 1190.1s
Ep    16400 | WinRT:  95.0% | AvgLen:  9.3 | ALoss: -0.002 | CLoss:  0.157 | Ent: 0.130 | Time: 1195.1s
Ep    16500 | WinRT:  94.0% | AvgLen:  8.1 | ALoss:  0.002 | CLoss:  0.141 | Ent: 0.128 | Time: 1199.1s
Ep    16600 | WinRT:  95.0% | AvgLen: 10.6 | ALoss:  0.000 | CLoss:  0.088 | Ent: 0.123 | Time: 1205.5s
Ep    16700 | WinRT:  91.0% | AvgLen:  7.7 | ALoss: -0.001 | CLoss:  0.211 | Ent: 0.115 | Time: 1209.6s
